id,datetime,created_at,tweet
1099030788627222528,2019-02-22 19:38:53,22-02-2019 19:38:53,"Neste domingo (24), acontece a 91ª edição do Academy Awards, a partir das 22h no canal @TNTbr. Confesso que este ano estou bem indecisa em algumas categorias, mas aqui estão as minhas apostas! Confira ~&gt; https://t.co/zny6LZW6Na #Oscars #Oscar2019 https://t.co/BP3He86PS8"
1099024955591802880,2019-02-22 19:15:42,22-02-2019 19:15:42,"Chegou a hora do nosso tradicional cast sobre o Oscar 2019 voltar com muita discussão e alguns palpites das categorias principais. Bora ouvir!
#Oscars #Oscar2019 #OscarNoms #podcastfriday 

&gt;https://t.co/HEVzdCpZMQ&lt; https://t.co/D1NoTcc6a5"
1099022670203703303,2019-02-22 19:06:38,22-02-2019 19:06:38,"Candidatos ao #Oscar2019 também competem nas redes sociais
 https://t.co/92a4kp90DQ"
1099016731077627906,2019-02-22 18:43:02,22-02-2019 18:43:02,Pela primeira vez em 30 anos o #Oscars2019 não terá um mestre de cerimônias. @KevinHart4real foi querer ser homofóbico e se ferrou. Há academia agiu certo ! #Oscar2019 #Oscar
1099016247537225730,2019-02-22 18:41:06,22-02-2019 18:41:06,"Algumas produções que concorrem ao #Oscar2019 não chegaram e não têm previsão de serem lançadas no Brasil, saiba mais sobre elas https://t.co/Ynaprxf3bV"
1099015988224425984,2019-02-22 18:40:04,22-02-2019 18:40:04,"Você gostou de Infiltrado na Klan?
Confira as críticas dos filmes indicados aos #Oscars no Cultura Pop A Rigor 
https://t.co/9fjYQ35u1x
#Oscars #Oscars2019 #Oscar2019 #Cinema #Filme https://t.co/c752VO9p3p"
1099010935937794049,2019-02-22 18:20:00,22-02-2019 18:20:00,"#Oscar2019 De forma poética, ‘Guerra Fria’ retrata idas e vindas de casal da Polônia comunista 

https://t.co/5RJ8GZGJ8b"
1099009417926926336,2019-02-22 18:13:58,22-02-2019 18:13:58,📽Nasce Uma Estrela e Pantera Negra #Oscar2019 💗
1099007171600240641,2019-02-22 18:05:02,22-02-2019 18:05:02,"O Cinema &amp; Movimento traz para o seu leitor uma análise dos curtas-metragens de animação que concorrem ao Oscar 2019. Confira! #Oscar2019
https://t.co/dw1GBVnqri https://t.co/dw1GBVnqri"
1099003430574702594,2019-02-22 17:50:11,22-02-2019 17:50:11,"Domingo teremos a premiação do Academy Awards, o Oscar! Que tal aprender um pouco de vocabulário sobre premiações de cinema antes do grande evento? #Oscar2019 https://t.co/XCAm0uUg9r"
1099002158048002048,2019-02-22 17:45:07,22-02-2019 17:45:07,"O que você achou de Green Book?
Confira as críticas dos filmes indicados aos #Oscars no Cultura Pop A Rigor 
https://t.co/VdzudgbeRd
#Oscars #Oscars2019 #Oscar2019 #Cinema #GreenBook #Filme https://t.co/jQoUcAy5QH"
1099001409998082055,2019-02-22 17:42:09,22-02-2019 17:42:09,"[Não tem arrego! Contra a reforma da Previdência e ...] https://t.co/Tvx382Cnej
#SextouNaLigaSDV #SextaDetremuraSDV #Sextou #Oscar #Oscars #Oscar2019 Oscar"
1098995332933926913,2019-02-22 17:18:00,22-02-2019 17:18:00,É hora de #PanteraNegra na nossa série especial de vídeos do #Oscar2019. Será que a Marvel levará a estatueta mais desejada da noite? @kelgomes e @silveirarenato avaliam as chances do filme. https://t.co/95AxtmHPZL
1098993956422119424,2019-02-22 17:12:32,22-02-2019 17:12:32,"Todos os #brasileiros merece respeito .
 #Oscar2019 #Oscars #Oscars2019 
#SextaDetremuraSDV #SextouNaLigaSDV #Sextou https://t.co/fntSnlgYwm"
1098992597761249280,2019-02-22 17:07:08,22-02-2019 17:07:08,"Se depender das buscas do Google feita por brasileiros, #Oscar2019 já tem seus vencedores. Se liga: https://t.co/jdTnSrq40I"
1098992061485707264,2019-02-22 17:05:00,22-02-2019 17:05:00,"#Oscar2019 l Se você fosse indicado ao #Oscar, quem seria seu acompanhante na premiação? 

Envie sua resposta para o #WhatsApp (11) 99474-8331 ou ligue para o telefone (11) 3170-5800."
1098991174378024961,2019-02-22 17:01:28,22-02-2019 17:01:28,"Chegou a hora de acompanhar a maior premiação do cinema mundial. Confira onde foram gravados os indicados a ""Melhor Filme"" do Oscar 2019. #viajonarios #oscar2019 #melhorfilme #locaisdegravacao https://t.co/wOH6CXWzXI https://t.co/VY4JSTrTbp"
1098990845691334656,2019-02-22 17:00:10,22-02-2019 17:00:10,Quem deve ganhar o Oscar 2019 de Melhor Filme? #Oscars2019 #Oscar2019
1098990841576734725,2019-02-22 17:00:09,22-02-2019 17:00:09,Quem deve ganhar o Oscar 2019 de Melhor Filme? #Oscars2019 #Oscar2019
1098990821305737217,2019-02-22 17:00:04,22-02-2019 17:00:04,"chego até a suspirar. Finalmente está pronta minha resenha de #Roma, indicado ao Oscar 2019 ❤️ comento sobre imagens do feminino e masculino, a simbologia da água e a dualidade entre céu e terra no enredo de Alfonso Cuarón.
https://t.co/I76gExwgBh #oscar2019"
1098989870989623297,2019-02-22 16:56:18,22-02-2019 16:56:18,"#oscar2019 chegando.
#WakandaForever"
